pixel_0_0,pixel_0_1,pixel_0_2,pixel_0_3,pixel_0_4,pixel_0_5,pixel_0_6,pixel_0_7,pixel_1_0,pixel_1_1,pixel_1_2,pixel_1_3,pixel_1_4,pixel_1_5,pixel_1_6,pixel_1_7,pixel_2_0,pixel_2_1,pixel_2_2,pixel_2_3,pixel_2_4,pixel_2_5,pixel_2_6,pixel_2_7,pixel_3_0,pixel_3_1,pixel_3_2,pixel_3_3,pixel_3_4,pixel_3_5,pixel_3_6,pixel_3_7,pixel_4_0,pixel_4_1,pixel_4_2,pixel_4_3,pixel_4_4,pixel_4_5,pixel_4_6,pixel_4_7,pixel_5_0,pixel_5_1,pixel_5_2,pixel_5_3,pixel_5_4,pixel_5_5,pixel_5_6,pixel_5_7,pixel_6_0,pixel_6_1,pixel_6_2,pixel_6_3,pixel_6_4,pixel_6_5,pixel_6_6,pixel_6_7,pixel_7_0,pixel_7_1,pixel_7_2,pixel_7_3,pixel_7_4,pixel_7_5,pixel_7_6,pixel_7_7,target
0.0,0.0,0.0,0.5,0.625,0.0,0.0,0.0,0.0,0.0,0.1875,0.9375,0.3125,0.0,0.0,0.0,0.0,0.0,0.4375,0.8125,0.0,0.0,0.0,0.0,0.0,0.0,0.4375,0.875,0.3125,0.0625,0.0,0.0,0.0,0.0,0.375,1.0,1.0,1.0,0.21428571428571427,0.0,0.0,0.0,0.375,1.0,0.4375,0.8125,0.5,0.0,0.0,0.0,0.125,0.9375,0.4375,0.9375,0.4375,0.0,0.0,0.0,0.0,0.4375,0.9375,0.75,0.0,0.0,6.0
0.0,0.0,0.375,0.8125,0.75,0.125,0.0,0.0,0.0,0.0,0.4375,0.4375,0.625,0.75,0.0,0.0,0.0,0.0,0.0,0.0625,0.75,0.5625,0.0,0.0,0.0,0.0,0.0,0.4375,1.0,0.4375,0.0,0.0,0.0,0.0,0.0,0.0,0.3125,0.875,0.07142857142857142,0.0,0.0,0.0625,0.4375,0.0,0.0,0.4375,0.6875,0.0,0.0,0.0625,1.0,0.25,0.0,0.5625,0.6875,0.0,0.0,0.0,0.3125,0.8125,0.75,1.0,0.1875,0.0,3.0
0.0,0.0,0.0,0.375,1.0,0.125,0.0,0.0,0.0,0.0,0.125,0.9375,0.9375,0.0,0.0,0.0,0.0,0.0,0.9375,1.0,0.1875,0.125,0.1875,0.0,0.0,0.4666666666666667,1.0,0.4375,0.1875,0.9375,0.7333333333333333,0.0,0.0,0.5,1.0,0.875,0.875,1.0,0.3571428571428571,0.0,0.0,0.0625,0.4375,0.75,1.0,0.625,0.0,0.0,0.0,0.0,0.0,0.4375,1.0,0.25,0.0,0.0,0.0,0.0,0.0,0.625,0.9375,0.0,0.0,0.0,4.0
0.0,0.0,0.9375,0.875,0.9375,0.5625,0.0,0.0,0.0,0.0,0.75,0.625,0.4375,0.375,0.25,0.0,0.0,0.0625,0.875,0.125,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,1.0,0.75,0.625,0.25,0.0,0.0,0.0,0.2857142857142857,0.6875,0.5,0.6875,0.9375,0.3571428571428571,0.0,0.0,0.0,0.0,0.0,0.0,0.8125,0.4375,0.0,0.0,0.25,1.0,0.625,0.6875,0.875,0.0625,0.0,0.0,0.1111111111111111,0.625,1.0,0.9375,0.25,0.0,0.0,5.0
0.0,0.0,0.3125,0.75,0.8125,0.75,0.0,0.0,0.0,0.4375,0.8125,0.3125,0.5,0.9375,0.0,0.0,0.0,0.25,0.875,0.25,0.8125,1.0,0.1875,0.0,0.0,0.0,0.375,0.75,0.5,0.5625,0.26666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5714285714285714,0.0,0.0,0.0,0.0,0.0,0.0,0.375,0.5,0.0,0.0,0.0,0.0625,0.1875,0.125,0.8125,0.375,0.0,0.0,0.0,0.375,1.0,1.0,0.5,0.0625,0.0,9.0
0.0,0.0,0.0,0.0625,0.5625,0.6875,0.0,0.0,0.0,0.0,0.0,0.8125,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.75,0.4375,0.875,0.0,0.0,0.0,0.0,0.0,0.0,0.875,0.4375,0.0,0.0,0.0,0.0,0.3125,0.75,0.75,0.0,0.0,0.0,0.0,0.4375,1.0,1.0,0.375,0.0,0.0,0.0,0.0,0.25,0.5625,0.8125,1.0,0.6875,0.25,0.0,0.0,0.0,0.0,0.0,0.5625,0.8125,0.1875,0.0,2.0
0.0,0.0,0.0,0.3125,0.875,0.125,0.0,0.0,0.0,0.0,0.0625,0.8125,0.6875,0.0,0.0,0.0,0.0,0.0,0.3125,1.0,0.125,0.0,0.0,0.0,0.0,0.0,0.375,0.9375,0.3125,0.0,0.0,0.0,0.0,0.07142857142857142,0.9375,1.0,0.9375,0.6875,0.07142857142857142,0.0,0.0,0.125,0.8125,0.875,0.0625,0.75,0.5625,0.0,0.0,0.0,0.25,1.0,0.4375,0.8125,0.5625,0.0,0.0,0.0,0.0,0.3125,1.0,0.9375,0.1875,0.0,6.0
0.0,0.125,0.75,1.0,1.0,1.0,0.25,0.0,0.0,0.25,1.0,0.625,0.25,0.0625,0.0625,0.0,0.0,0.375,0.8125,0.0,0.0,0.0,0.0,0.0,0.0,0.4,1.0,0.75,0.3125,0.0,0.0,0.0,0.0,0.5,0.6875,0.6875,0.9375,0.0,0.0,0.0,0.0,0.0,0.0,0.25,1.0,0.125,0.0,0.0,0.0,0.0,0.125,0.8125,0.625,0.0,0.0,0.0,0.0,0.2222222222222222,1.0,0.6875,0.0,0.0,0.0,0.0,5.0
0.0,0.375,0.8125,1.0,0.5625,0.0,0.0,0.0,0.0,0.625,0.9375,0.8125,0.9375,0.125,0.0,0.0,0.0,0.9375,0.25,0.25,1.0,0.0625,0.0,0.0,0.0,0.0,0.0,0.3125,1.0,0.125,0.0,0.0,0.0,0.0,0.0625,0.875,0.8125,0.0,0.0,0.0,0.0,0.0,0.625,1.0,0.3125,0.0,0.0,0.0,0.0,0.25,1.0,0.8125,0.5,0.625,0.5625,0.07692307692307693,0.0,0.2222222222222222,1.0,1.0,0.875,0.75,0.5625,0.0625,2.0
0.0,0.0,0.0,0.125,1.0,1.0,0.125,0.0,0.0,0.0,0.0,0.25,1.0,1.0,0.125,0.0,0.0,0.0625,0.25,0.75,1.0,0.75,0.0,0.0,0.0,0.4666666666666667,1.0,1.0,1.0,0.75,0.0,0.0,0.0,0.0,0.1875,0.625,1.0,0.875,0.0,0.0,0.0,0.0,0.0,0.5,1.0,0.75,0.0,0.0,0.0,0.0,0.0,0.375,1.0,1.0,0.125,0.0,0.0,0.0,0.0,0.125,0.75,0.9375,0.25,0.0,1.0
0.0,0.375,0.9375,0.5,0.5,0.375,0.0,0.0,0.0,0.25,1.0,1.0,1.0,0.8125,0.125,0.0,0.0,0.1875,1.0,0.5625,0.125,0.0,0.0,0.0,0.0,0.13333333333333333,1.0,1.0,0.9375,0.1875,0.0,0.0,0.0,0.0,0.4375,0.375,0.75,0.5625,0.0,0.0,0.0,0.0,0.0,0.0625,0.875,0.625,0.0,0.0,0.0,0.0,0.3125,0.875,0.9375,0.125,0.0,0.0,0.0,0.1111111111111111,0.9375,0.875,0.0625,0.0,0.0,0.0,5.0
0.0,0.0,0.375,0.875,1.0,0.9375,0.0625,0.0,0.0,0.5625,1.0,0.75,0.5625,1.0,0.1875,0.0,0.0,0.75,1.0,0.6875,0.875,0.8125,0.0,0.0,0.0,0.4666666666666667,0.9375,1.0,0.875,0.0,0.0,0.0,0.0,0.0,0.125,0.5,1.0,0.3125,0.0,0.0,0.0,0.0,0.0,0.375,1.0,0.25,0.0,0.0,0.0,0.0,0.125,0.8125,0.75,0.0,0.0,0.0,0.0,0.0,0.5625,1.0,0.0625,0.0,0.0,0.0,9.0
0.0,0.0,0.25,0.875,1.0,0.875,0.0625,0.0,0.0,0.125,0.875,1.0,1.0,0.5,0.0,0.0,0.0,0.25,1.0,1.0,0.875,0.1875,0.0,0.0,0.0,0.26666666666666666,1.0,1.0,0.625,0.0,0.0,0.0,0.0,0.0,0.75,0.8125,0.75,0.0,0.0,0.0,0.0,0.0625,0.875,1.0,0.9375,0.1875,0.0,0.0,0.0,0.0,0.625,1.0,1.0,0.75,0.0,0.0,0.0,0.0,0.125,0.5625,0.9375,1.0,0.5,0.0,1.0
0.0,0.0,0.0625,0.5,1.0,0.4375,0.0,0.0,0.0,0.0,0.1875,1.0,1.0,0.75,0.0,0.0,0.0,0.0625,0.9375,1.0,1.0,0.75,0.0,0.0,0.0,0.2,0.75,0.9375,1.0,0.75,0.0,0.0,0.0,0.0,0.0,0.5,1.0,0.625,0.0,0.0,0.0,0.0,0.0,0.6875,1.0,0.875,0.0,0.0,0.0,0.0,0.0,0.6875,1.0,1.0,0.0625,0.0,0.0,0.0,0.0,0.3125,0.8125,0.4375,0.0,0.0,1.0
0.0,0.0,0.0,0.75,0.9375,0.125,0.0,0.0,0.0,0.0,0.0,0.8125,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.875,1.0,0.5625,0.0,0.0,0.0,0.0,0.0,0.8125,1.0,0.375,0.0,0.0,0.0,0.0,0.4375,1.0,1.0,0.1875,0.0,0.0,0.0,0.0625,1.0,1.0,1.0,0.0625,0.0,0.0,0.0,0.0,0.5,1.0,1.0,0.125,0.0,0.0,0.0,0.0,0.0,0.5625,1.0,0.4375,0.0,0.0,1.0
0.0,0.0,0.125,0.75,0.5625,0.0,0.0,0.0,0.0,0.0,0.0625,0.9375,0.4375,0.5625,0.0,0.0,0.0,0.0,0.0,0.6875,0.0625,0.875,0.0625,0.0,0.0,0.0,0.625,0.5,0.6875,0.8125,0.06666666666666667,0.0,0.0,0.0,0.5625,0.875,1.0,0.5625,0.0,0.0,0.0,0.0,0.0,0.0,0.0625,0.625,0.1875,0.0,0.0,0.0,0.0,0.0,0.0,0.1875,0.875,0.15384615384615385,0.0,0.0,0.3125,0.875,0.8125,0.875,0.625,0.0625,9.0
0.0,0.0,0.0,0.5,1.0,1.0,1.0,0.4,0.0,0.0,0.375,0.875,0.3125,0.5,1.0,0.16666666666666666,0.0,0.0,0.4375,0.25,0.0,0.375,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.4,0.0,0.0,0.0,0.0,0.6875,1.0,1.0,0.7142857142857142,0.0,0.0,0.0,0.0,0.75,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.375,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.5625,0.0,0.0,0.0,7.0
0.0,0.0,0.0,0.5625,0.6875,0.0,0.0,0.0,0.0,0.0,0.0625,1.0,0.6875,0.0,0.0,0.0,0.0,0.0,0.375,1.0,0.0625,0.0,0.0,0.0,0.0,0.0,0.6875,0.6875,0.375,0.4375,0.06666666666666667,0.0,0.0,0.0,0.8125,0.875,0.9375,1.0,0.5714285714285714,0.0,0.0,0.0,0.75,0.8125,0.3125,0.3125,0.8125,0.0,0.0,0.0,0.375,0.875,0.5,0.9375,0.75,0.0,0.0,0.0,0.0,0.625,1.0,0.75,0.125,0.0,6.0
0.0,0.125,0.6875,1.0,0.6875,0.0625,0.0,0.0,0.0,0.375,0.6875,1.0,1.0,0.4375,0.0,0.0,0.0,0.0625,0.125,0.5625,1.0,0.6875,0.0,0.0,0.0,0.13333333333333333,0.875,0.75,1.0,0.75,0.0,0.0,0.0,0.0,0.1875,0.5,0.25,0.8125,0.2857142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.625,0.5,0.0,0.0,0.0,0.25,0.75,1.0,0.875,0.375,0.0,0.0,0.0,0.875,0.5,0.25,0.0,0.0,0.0,9.0
0.0,0.0,0.75,1.0,1.0,0.5,0.0,0.0,0.0,0.1875,1.0,0.8125,0.5,0.3125,0.0,0.0,0.0,0.125,1.0,0.1875,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.8125,0.5625,0.0,0.0,0.0,0.0,0.0,0.625,1.0,1.0,0.4375,0.0,0.0,0.0,0.0,0.0,0.0625,0.625,0.8125,0.0,0.0,0.0,0.0,0.125,0.6875,1.0,0.625,0.0,0.0,0.0,0.0,0.6875,1.0,0.75,0.0,0.0,0.0,5.0
0.0,0.0,0.25,0.8125,1.0,0.875,0.0,0.0,0.0,0.125,0.875,1.0,0.75,0.25,0.0,0.0,0.0,0.8125,1.0,0.3125,0.0,0.0,0.0,0.0,0.0,0.7333333333333333,1.0,0.625,0.0625,0.0,0.0,0.0,0.0,0.3571428571428571,0.9375,1.0,0.3125,0.0,0.0,0.0,0.0,0.0,0.125,0.9375,0.5625,0.0,0.0,0.0,0.0,0.0,0.3125,0.9375,0.5625,0.0,0.0,0.0,0.0,0.0,0.25,1.0,0.3125,0.0,0.0,0.0,5.0
0.0,0.0,0.1875,0.75,0.4375,0.0,0.0,0.0,0.0,0.0,0.875,0.75,0.75,0.25,0.0,0.0,0.0,0.125,0.875,0.0,0.0625,0.8125,0.0,0.0,0.0,0.06666666666666667,0.75,0.0,0.0,0.4375,0.3333333333333333,0.0,0.0,0.14285714285714285,0.8125,0.0,0.0,0.125,0.7142857142857142,0.0,0.0,0.0,0.9375,0.1875,0.0,0.1875,0.875,0.0,0.0,0.0,0.4375,0.75,0.5,0.6875,0.75,0.0,0.0,0.0,0.125,0.6875,1.0,0.6875,0.125,0.0,0.0
0.0,0.25,0.9375,1.0,1.0,0.875,0.125,0.0,0.0,0.1875,1.0,0.875,0.5625,0.625,0.0625,0.0,0.0,0.4375,1.0,0.375,0.0,0.0,0.0,0.0,0.0,0.2,0.875,0.9375,0.375,0.0,0.0,0.0,0.0,0.0,0.0625,0.8125,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.5625,1.0,0.6875,0.0,0.0,0.0,0.0,0.3333333333333333,1.0,0.8125,0.0625,0.0,0.0,0.0,5.0
0.0,0.0,0.1875,0.8125,0.4375,0.0,0.0,0.0,0.0,0.1875,0.9375,0.5,0.875,0.0,0.0,0.0,0.0,0.625,0.5,0.0625,0.875,0.0,0.0,0.0,0.0,0.5333333333333333,0.6875,0.3125,0.8125,0.0,0.0,0.0,0.0,0.0,0.0,0.3125,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0625,0.75,0.625,0.4375,0.3125,0.15384615384615385,0.0,0.0,0.125,0.875,0.875,0.75,0.875,0.4375,2.0
0.0,0.0,0.0,0.125,0.9375,0.25,0.0,0.0,0.0,0.0,0.0,0.5,0.9375,0.0625,0.0,0.0,0.0,0.0,0.0625,0.875,0.75,0.0,0.0,0.0,0.0,0.0,0.375,1.0,0.75,0.0,0.0,0.0,0.0,0.0,0.8125,1.0,0.9375,0.25,0.14285714285714285,0.0,0.0,0.5625,1.0,1.0,1.0,1.0,0.6875,0.0,0.0,0.1875,0.5,0.5,1.0,0.1875,0.0,0.0,0.0,0.0,0.0,0.1875,0.9375,0.0,0.0,0.0,4.0
0.0,0.0,0.5625,0.5625,0.25,0.0,0.0,0.0,0.0,0.0,0.9375,0.9375,0.875,0.75,0.0,0.0,0.0,0.1875,0.625,0.0625,0.0,0.75,0.3125,0.0,0.0,0.3333333333333333,0.5,0.0,0.0,0.5,0.4,0.0,0.0,0.5714285714285714,0.5,0.0,0.0,0.5,0.5714285714285714,0.0,0.0,0.3125,0.5,0.0,0.0,0.625,0.375,0.0,0.0,0.25,0.8125,0.25,0.375,0.8125,0.0,0.0,0.0,0.0,0.375,1.0,0.875,0.1875,0.0,0.0,0.0
0.0,0.0,0.4375,1.0,0.875,0.1875,0.0,0.0,0.0,0.0,0.5625,0.875,0.6875,0.9375,0.0,0.0,0.0,0.0,0.0625,0.3125,0.0,0.9375,0.3125,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.1875,1.0,0.2857142857142857,0.0,0.0,0.0,0.0,0.0625,0.75,0.875,0.0625,0.0,0.0,0.0,0.3125,0.75,1.0,1.0,0.875,0.07692307692307693,0.0,0.0,0.5,1.0,0.875,0.625,0.8125,0.1875,2.0
0.0,0.0,0.1875,0.8125,1.0,1.0,0.8125,0.0,0.0,0.0,0.6875,0.875,0.5,0.9375,0.5625,0.0,0.0,0.0,0.1875,0.3125,0.125,0.875,0.125,0.0,0.0,0.0,0.0,0.0,0.5625,0.6875,0.06666666666666667,0.0,0.0,0.0,0.125,0.9375,0.9375,1.0,0.6428571428571428,0.0,0.0,0.0,0.125,0.9375,0.875,0.5,0.125,0.0,0.0,0.0,0.0,0.6875,0.625,0.0,0.0,0.0,0.0,0.0,0.125,0.9375,0.25,0.0,0.0,0.0,7.0
0.0,0.0,0.5625,1.0,1.0,0.8125,0.0625,0.0,0.0,0.0,0.75,0.8125,0.875,1.0,0.4375,0.0,0.0,0.0,0.0,0.0,0.375,1.0,0.25,0.0,0.0,0.0,0.0,0.0,0.8125,0.875,0.06666666666666667,0.0,0.0,0.0,0.0625,0.625,1.0,0.375,0.0,0.0,0.0,0.0,0.4375,1.0,0.5,0.0,0.0,0.0,0.0,0.125,0.9375,1.0,0.75,0.4375,0.0,0.0,0.0,0.0,0.5625,0.875,1.0,1.0,0.125,0.0,2.0
0.0,0.0,0.0,0.1875,0.75,0.625,0.0,0.0,0.0,0.0,0.0625,0.875,0.375,0.9375,0.0,0.0,0.0,0.0,0.0,1.0,0.375,0.625,0.0,0.0,0.0,0.0,0.0,0.875,1.0,0.125,0.0,0.0,0.0,0.0,0.1875,0.875,0.9375,0.1875,0.0,0.0,0.0,0.0625,1.0,0.25,0.5625,0.5625,0.0,0.0,0.0,0.0,0.25,0.8125,0.25,0.4375,0.5,0.0,0.0,0.0,0.0,0.1875,0.625,0.6875,0.9375,0.125,8.0
0.0,0.0,0.0,0.25,0.875,0.875,0.25,0.0,0.0,0.0,0.0625,0.9375,1.0,1.0,0.125,0.0,0.0,0.125,0.8125,1.0,1.0,1.0,0.0,0.0,0.0,0.5333333333333333,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.14285714285714285,0.4375,0.5,1.0,1.0,0.07142857142857142,0.0,0.0,0.0,0.0,0.25,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.25,1.0,1.0,0.125,0.0,0.0,0.0,0.0,0.25,1.0,0.9375,0.25,0.0,1.0
0.0,0.0,0.3125,0.75,1.0,0.5625,0.0,0.0,0.0,0.4375,1.0,0.625,0.1875,0.0,0.0,0.0,0.0,0.5,0.8125,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.875,0.25,0.375,0.0,0.0,0.0,0.0,0.2857142857142857,0.875,0.75,0.8125,0.8125,0.07142857142857142,0.0,0.0,0.0,0.0,0.0,0.0,0.9375,0.25,0.0,0.0,0.0,0.0,0.0,0.25,0.9375,0.4375,0.0,0.0,0.0,0.25,0.75,0.8125,0.5,0.0,0.0,5.0
0.0,0.0,0.125,0.8125,1.0,0.5,0.0,0.0,0.0,0.0625,0.8125,1.0,0.625,0.4375,0.0,0.0,0.0,0.3125,1.0,0.5625,0.0,0.0,0.0,0.0,0.0,0.4666666666666667,1.0,0.4375,0.0,0.0,0.0,0.0,0.0,0.6428571428571428,1.0,1.0,0.8125,0.0625,0.0,0.0,0.0,0.3125,1.0,0.375,0.875,0.5625,0.0,0.0,0.0,0.0,0.8125,0.75,0.875,0.9375,0.0,0.0,0.0,0.0,0.1875,0.75,1.0,0.6875,0.0,0.0,6.0
0.0,0.0,0.5625,1.0,1.0,1.0,0.25,0.0,0.0,0.0,0.5,1.0,0.3125,0.25,0.0,0.0,0.0,0.0625,0.9375,0.5625,0.0,0.0,0.0,0.0,0.0,0.6,0.9375,0.5,0.4375,0.1875,0.0,0.0,0.0,0.21428571428571427,0.75,0.75,0.875,1.0,0.3571428571428571,0.0,0.0,0.0,0.0,0.0,0.0625,0.6875,0.75,0.0,0.0,0.0,0.0625,0.125,0.0625,0.6875,0.625,0.0,0.0,0.0,0.5625,1.0,1.0,1.0,0.25,0.0,5.0
0.0,0.0,0.0,0.5625,0.9375,0.5625,0.0,0.0,0.0,0.0,0.5,0.9375,0.3125,0.75,0.125,0.0,0.0,0.0,0.9375,0.9375,0.1875,0.8125,0.1875,0.0,0.0,0.0,0.6875,1.0,1.0,0.8125,0.0,0.0,0.0,0.2857142857142857,1.0,0.625,0.9375,0.0,0.0,0.0,0.0,0.1875,0.75,0.0,0.5,0.4375,0.0,0.0,0.0,0.0,0.75,0.5,0.625,0.6875,0.0,0.0,0.0,0.0,0.0,0.5625,0.8125,0.25,0.0,0.0,8.0
0.0,0.0,0.0,0.8125,0.9375,0.125,0.0,0.0,0.0,0.0,0.25,1.0,0.6875,0.0625,0.0,0.0,0.0,0.0,0.8125,0.9375,0.0625,0.0,0.0,0.0,0.0,0.0,0.9375,0.5625,0.0,0.0,0.0,0.0,0.0,0.2857142857142857,1.0,0.875,0.9375,0.5,0.0,0.0,0.0,0.0625,1.0,0.9375,0.5,0.8125,0.5625,0.0,0.0,0.0,0.6875,0.625,0.0,0.6875,1.0,0.0,0.0,0.0,0.125,0.875,1.0,1.0,0.8125,0.0,6.0
0.0,0.125,0.875,1.0,1.0,0.6875,0.125,0.0,0.0,0.0,0.875,0.5625,0.125,0.625,0.6875,0.0,0.0,0.0,0.3125,1.0,0.3125,0.875,0.3125,0.0,0.0,0.0,0.0,0.75,1.0,1.0,0.3333333333333333,0.0,0.0,0.0,0.4375,0.875,0.875,0.5,0.0,0.0,0.0,0.0625,0.875,0.1875,0.375,0.6875,0.0,0.0,0.0,0.25,0.5,0.0,0.5,0.6875,0.0,0.0,0.0,0.2222222222222222,0.8125,0.75,0.9375,0.125,0.0,0.0,8.0
0.0,0.0,0.5625,0.875,1.0,0.625,0.0,0.0,0.0,0.0,0.625,0.375,0.75,0.8125,0.0,0.0,0.0,0.0,0.0,0.0,0.8125,0.8125,0.3125,0.0,0.0,0.13333333333333333,0.75,0.9375,1.0,0.9375,0.9333333333333333,0.0,0.0,0.14285714285714285,0.75,1.0,0.4375,0.0,0.07142857142857142,0.0,0.0,0.0,0.1875,0.9375,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.875,0.0,0.0,0.0,0.0,0.0,0.0,0.5625,0.6875,0.0,0.0,0.0,0.0,7.0
0.0,0.0,0.3125,0.5,0.6875,0.3125,0.0,0.0,0.0,0.0,0.8125,1.0,0.75,0.75,0.0,0.0,0.0,0.0625,1.0,0.5625,0.0,0.5625,0.1875,0.0,0.0,0.2,1.0,0.375,0.0,0.375,0.4,0.0,0.0,0.21428571428571427,0.6875,0.0625,0.0,0.3125,0.42857142857142855,0.0,0.0,0.0,0.75,0.0,0.0,0.6875,0.375,0.0,0.0,0.0,0.875,0.3125,0.75,0.9375,0.0625,0.0,0.0,0.0,0.375,1.0,0.8125,0.125,0.0,0.0,0.0
0.0,0.25,0.875,1.0,1.0,0.4375,0.0,0.0,0.0,0.375,0.9375,0.3125,0.375,0.8125,0.0,0.0,0.0,0.25,0.9375,0.0,0.5625,1.0,0.375,0.0,0.0,0.13333333333333333,0.8125,1.0,1.0,0.9375,0.6,0.0,0.0,0.0,0.0625,0.25,0.125,0.9375,0.5714285714285714,0.0,0.0,0.0,0.0,0.0,0.0625,1.0,0.375,0.0,0.0,0.0,0.0,0.0625,0.75,0.9375,0.125,0.0,0.0,0.1111111111111111,0.875,1.0,1.0,0.375,0.0,0.0,9.0
0.0,0.0,0.5,0.875,1.0,0.8125,0.0625,0.0,0.0,0.625,0.5625,0.25,0.375,1.0,0.1875,0.0,0.0,0.0,0.0,0.0625,0.625,0.8125,0.0,0.0,0.0,0.0,0.0,0.4375,0.875,0.125,0.0,0.0,0.0,0.0,0.0,0.4375,0.8125,0.0625,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.8125,0.0625,0.0,0.0,0.0,0.0,0.0,0.1875,1.0,0.25,0.0,0.0,0.0,0.875,1.0,0.8125,0.5625,0.0,0.0,3.0
0.0,0.0,0.0,0.625,0.375,0.0,0.0,0.0,0.0,0.0,0.25,1.0,0.125,0.1875,0.0,0.0,0.0,0.0,0.8125,0.5,0.4375,0.875,0.0,0.0,0.0,0.4666666666666667,0.9375,0.0,0.8125,0.875,0.3333333333333333,0.0,0.0,1.0,0.9375,0.875,1.0,1.0,0.6428571428571428,0.0,0.0,0.8125,1.0,0.9375,1.0,0.375,0.0,0.0,0.0,0.0,0.0625,0.5625,0.875,0.0,0.0,0.0,0.0,0.0,0.0,0.875,0.625,0.0,0.0,0.0,4.0
0.0,0.0,0.25,0.9375,0.75,0.125,0.0,0.0,0.0,0.0,0.5625,1.0,0.875,0.125,0.0,0.0,0.0,0.0,0.75,1.0,0.9375,0.0,0.0,0.0,0.0,0.0,0.6875,1.0,0.75,0.0625,0.0,0.0,0.0,0.0,0.5625,1.0,0.875,0.0,0.0,0.0,0.0,0.0,0.625,1.0,0.75,0.0,0.0,0.0,0.0,0.0,0.5625,1.0,0.875,0.0,0.0,0.0,0.0,0.0,0.25,0.75,0.75,0.0,0.0,0.0,1.0
0.0,0.0,0.0625,0.5625,0.9375,0.625,0.0625,0.0,0.0,0.0,0.125,0.75,0.5,0.75,0.25,0.0,0.0,0.0,0.0,0.6875,0.0625,0.6875,0.1875,0.0,0.0,0.0,0.0,0.5,0.5,0.9375,0.26666666666666666,0.0,0.0,0.14285714285714285,0.9375,1.0,1.0,0.4375,0.0,0.0,0.0,0.125,0.9375,0.3125,0.6875,0.0,0.0,0.0,0.0,0.0,0.875,0.25,0.75,0.0,0.0,0.0,0.0,0.0,0.1875,0.875,0.5625,0.0,0.0,0.0,8.0
0.0,0.0,0.6875,1.0,0.5625,0.5,0.0,0.0,0.0,0.0,0.875,0.8125,0.375,0.9375,0.125,0.0,0.0,0.0,0.5625,0.375,0.375,0.625,0.0,0.0,0.0,0.0,0.0625,0.875,0.8125,0.0,0.0,0.0,0.0,0.0,0.0625,0.8125,0.5,0.0,0.0,0.0,0.0,0.0,0.3125,0.4375,0.75,0.0,0.0,0.0,0.0,0.0,0.8125,0.0,0.625,0.0,0.0,0.0,0.0,0.0,0.8125,0.875,0.5,0.0,0.0,0.0,8.0
0.0,0.0,0.0,0.375,0.75,0.375,0.0,0.0,0.0,0.0,0.0625,0.9375,0.875,0.0625,0.0,0.0,0.0,0.0,0.625,1.0,0.5,0.0,0.0,0.0,0.0,0.06666666666666667,0.8125,1.0,0.0,0.0,0.0,0.0,0.0,0.21428571428571427,1.0,1.0,0.6875,0.25,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.4375,0.0,0.0,0.0,0.5625,1.0,1.0,1.0,0.75,0.0,0.0,0.0,0.0,0.375,0.6875,0.75,0.3125,0.0,6.0
0.0,0.25,0.6875,0.8125,0.6875,0.125,0.0,0.0,0.0,0.4375,0.75,0.25,0.8125,0.5,0.0,0.0,0.0,0.375,0.8125,0.3125,0.875,0.8125,0.0,0.0,0.0,0.0,0.1875,0.6875,0.5625,0.6875,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5714285714285714,0.0,0.0,0.0,0.0,0.0,0.0,0.1875,0.6875,0.0,0.0,0.0,0.125,0.0,0.0625,0.5625,0.625,0.0,0.0,0.1111111111111111,0.9375,1.0,1.0,0.875,0.125,0.0,9.0
